test
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 3 for Wirby::input(), called in /Users/flo/Sites/Wirby/pastolore/pages/order2.php on line 14 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 519
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: class in /Users/flo/Sites/Wirby/wirby/wirby.php on line 519
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 2 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 493 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 3 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 493 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: pre in /Users/flo/Sites/Wirby/wirby/wirby.php on line 483
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 2 for Wirby::label(), called in /Users/flo/Sites/Wirby/pastolore/pages/order2.php on line 16 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 518
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: class in /Users/flo/Sites/Wirby/wirby/wirby.php on line 518
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 2 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 494 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 3 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 494 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: pre in /Users/flo/Sites/Wirby/wirby/wirby.php on line 483
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 3 for Wirby::input(), called in /Users/flo/Sites/Wirby/pastolore/pages/order2.php on line 17 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 519
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: class in /Users/flo/Sites/Wirby/wirby/wirby.php on line 519
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 2 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 493 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 3 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 493 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
[08-Aug-2013 05:29:15 UTC] PHP Notice:  Undefined variable: pre in /Users/flo/Sites/Wirby/wirby/wirby.php on line 483
[08-Aug-2013 05:29:15 UTC] PHP Warning:  Missing argument 2 for Wirby::get(), called in /Users/flo/Sites/Wirby/wirby/wirby.php on line 493 and defined in /Users/flo/Sites/Wirby/wirby/wirby.php on line 479
